keyword,frequency,avg_score
chatgpt student,6,0.8718833333333333
educational paradigm,6,0.87875
collaborative learn,6,0.8738
effective learning,6,0.8686333333333334
teachinglearning,6,0.85475
genai social,6,0.8819666666666667
student perception,6,0.8664333333333333
multilingual machinegenerated,6,0.9030999999999999
academic literacy,6,0.8810333333333333
cyber threat,6,0.8788666666666667
datadriven,6,0.8607166666666667
competitive,6,0.8835833333333333
writing process,6,0.8799833333333332
genai blockchain,6,0.8466333333333332
copyright law,6,0.8764166666666666
academic setting,6,0.8806333333333333
selfdirecte learning,6,0.8642
knowledge graph,6,0.8685499999999999
application education,6,0.8694166666666666
creative industry,6,0.8868833333333334
educational institution,6,0.8558166666666667
framework student,6,0.8718166666666667
technology genai,6,0.8750833333333333
learn study,6,0.8584
education insight,6,0.8718333333333333
educational technology,6,0.8723166666666667
quality education,6,0.8672166666666666
improve student,6,0.8741166666666667
feedback literacy,6,0.8787833333333334
genai undergraduate,6,0.8751166666666667
creative work,6,0.8941499999999999
enhance learning,6,0.8781166666666667
industry,6,0.8598333333333333
genai medical,6,0.8714166666666667
learning,6,0.8707333333333334
financial,6,0.8785666666666666
pedagogical strategy,6,0.8668666666666667
education rapid,6,0.879
selfregulate learning,5,0.86762
learning outcome,5,0.8749800000000001
healthcare genai,5,0.88896
genai qualitative,5,0.8928
ai chatbot,5,0.8673
doctoral,5,0.87508
learn educational,5,0.8809000000000001
personalise learning,5,0.87714
design course,5,0.88538
scholarly,5,0.8934
network design,5,0.87958
insight student,5,0.8579800000000001
selfregulated learning,5,0.8754
compute education,5,0.84986
critical thinking,5,0.8695600000000001
design thinking,5,0.8745200000000001
genai sustainable,5,0.8769199999999999
chatgpt academic,5,0.85808
need student,5,0.86662
creative design,5,0.8953200000000001
genai educator,5,0.8793200000000001
genai curriculum,5,0.87608
education present,5,0.84372
investigate student,5,0.8595
student technology,5,0.8718199999999999
genai industrial,5,0.8720000000000001
digital competence,5,0.8627
success,5,0.86242
learner motivation,5,0.8762399999999999
game genai,5,0.93116
use educational,5,0.8469000000000001
vehicle,5,0.8549
tool academic,5,0.8593999999999999
education faculty,5,0.8617800000000001
education scope,5,0.8775999999999999
evaluate student,5,0.87876
education challenge,5,0.86862
research teaching,5,0.8815200000000001
creative practice,5,0.89734
educator use,5,0.8550800000000001
design fiction,5,0.88902
technology learn,5,0.88536
faculty genai,5,0.88154
genai offer,5,0.8878
genai course,5,0.8786999999999999
improve educational,5,0.8714000000000001
teacher study,5,0.8527799999999999
teach research,5,0.8737999999999999
design student,5,0.88208
professional development,5,0.8535
student motivation,5,0.87296
finetune genai,5,0.87106
teacher ai,5,0.8703200000000001
genai model,5,0.89352
formative feedback,5,0.8709
management education,5,0.8455600000000001
information literacy,5,0.88228
inquirybased learning,5,0.8817999999999999
student academic,5,0.8806200000000001
education science,5,0.8978999999999999
deployment genai,5,0.86758
technology educational,5,0.85634
blend learning,5,0.86722
research ai,5,0.8713799999999999
student educator,5,0.87964
requirement engineer,5,0.86514
empower,5,0.8600200000000001
semantic communication,5,0.8441000000000001
genai policy,5,0.86538
thematic,5,0.87508
student create,5,0.8777799999999999
support student,5,0.8643599999999999
engineering genai,5,0.8588799999999999
software testing,5,0.9056000000000001
student adoption,5,0.87006
adult learner,5,0.8670199999999999
entrepreneurial,5,0.8702799999999999
design educational,5,0.87226
fashion design,5,0.88662
genai product,5,0.8870799999999999
pedagogical design,5,0.8556799999999999
programming learning,5,0.86334
product development,5,0.87572
enhance learner,5,0.8764199999999999
challenge education,5,0.8847400000000001
education design,5,0.8581199999999999
design science,5,0.88666
programming course,5,0.8592000000000001
content creation,5,0.8822800000000001
teachinglearning strategy,5,0.86026
model education,5,0.8822800000000001
agentic ai,5,0.87522
design process,5,0.8654
teaching assessment,5,0.86432
generate,5,0.8771000000000001
use chatgpt,5,0.8638999999999999
online course,5,0.8831199999999999
teacher genai,5,0.8773199999999999
manufacturing,5,0.8487199999999999
research model,5,0.86886
augment reality,5,0.88622
humanai interaction,5,0.8730800000000001
news,5,0.8753
tourism,5,0.85782
empower student,5,0.86432
assessment student,5,0.87906
genai generative,5,0.8882
literacy critical,5,0.8629999999999999
customer,5,0.8616999999999999
research education,5,0.8882200000000001
storytelle,5,0.88064
develop student,5,0.8626799999999999
formative,5,0.8652599999999999
assessment educational,5,0.8951399999999999
novice programming,5,0.8847799999999999
academic publishing,5,0.8943
health genai,5,0.88012
academic library,5,0.85968
transform education,5,0.8640399999999999
genai teach,5,0.8724399999999999
genai investment,5,0.8865000000000001
educational field,5,0.88676
assessment design,5,0.86516
personalised learning,5,0.8647
postgraduate,5,0.85748
educational game,5,0.9004200000000001
digital education,5,0.88048
humanai collaboration,5,0.8804399999999999
technological pedagogical,5,0.8604200000000001
genai consumer,5,0.86252
agile software,5,0.89362
immersive learning,5,0.8667400000000001
genai game,5,0.9085599999999999
curriculum designer,5,0.86678
risk assessment,4,0.86505
12 educator,4,0.860425
practitioner genai,4,0.8532500000000001
experience student,4,0.853425
formative assessment,4,0.87595
human resource,4,0.863875
writing learning,4,0.88705
intelligence ai,4,0.8694
student feedback,4,0.87405
teacher design,4,0.86695
explore undergraduate,4,0.871775
informal learning,4,0.86885
inclusive education,4,0.887875
maintain academic,4,0.8488249999999999
interactive,4,0.8723000000000001
tutoring ai,4,0.89425
educational framework,4,0.8593500000000001
autoencoder vae,4,0.866275
finance genai,4,0.892725
study chatgpt,4,0.883525
online learning,4,0.85935
instructional designer,4,0.884675
cybersecurity ai,4,0.8910750000000001
learning environment,4,0.8731
education highlight,4,0.866575
literacy ai,4,0.879875
student review,4,0.867325
knowledge sharing,4,0.87295
architectural education,4,0.875275
communication genai,4,0.879525
write student,4,0.889625
marketing research,4,0.897575
service genai,4,0.8678
automate essay,4,0.8979
knowledge creation,4,0.88165
security,4,0.8768
framework teacher,4,0.88315
essay scoring,4,0.8996999999999999
ai curriculum,4,0.870875
education student,4,0.869525
support learner,4,0.860675
technology industrial,4,0.8619
teacher training,4,0.8488
global educational,4,0.864625
engage student,4,0.8713
decisionmake,4,0.8753
genai entrepreneurial,4,0.8951
innovation education,4,0.8745499999999999
genai solution,4,0.863775
lesson planning,4,0.862
student attitude,4,0.8618250000000001
genai smart,4,0.86435
educational datum,4,0.86465
extend reality,4,0.867175
research design,4,0.889725
involve student,4,0.8629
student make,4,0.8645
student trust,4,0.8818
academic professional,4,0.870625
education conceptual,4,0.879675
studentgenai interaction,4,0.8843
generate text,4,0.8968
constructivist learning,4,0.879625
postgraduate research,4,0.88805
llm education,4,0.883825
education critical,4,0.8778
genai platform,4,0.892375
marketing education,4,0.8712
smart city,4,0.8408
programming exercise,4,0.8742
network genai,4,0.85595
student explore,4,0.858225
chatbot educational,4,0.88165
content,4,0.886425
enterprise architecture,4,0.8895500000000001
text generate,4,0.907125
educator ai,4,0.88325
recent,4,0.884675
doctoral research,4,0.874675
leverage genai,4,0.86505
explore pedagogical,4,0.8671
pedagogical practice,4,0.865625
cyber defense,4,0.888375
literacy practice,4,0.8706499999999999
development course,4,0.877725
genai instructor,4,0.889925
design creative,4,0.8927
foundational,4,0.865375
reality genai,4,0.8734
chatbot student,4,0.8668
project management,4,0.8722749999999999
digital learn,4,0.8699250000000001
employee engagement,4,0.883175
student response,4,0.8780749999999999
legal education,4,0.87715
genai clinical,4,0.87355
ai genai,4,0.883475
variational autoencoder,4,0.857425
intelligent tutoring,4,0.888725
learning academic,4,0.86995
aigenerate text,4,0.8852
second language,4,0.8725
integration teaching,4,0.8657
education innovation,4,0.877075
healthcare education,4,0.8783749999999999
avatar,4,0.875075
education humanai,4,0.87585
education 12,4,0.87705
image,4,0.8671
business research,4,0.907875
genai participatory,4,0.859425
nature work,4,0.86195
tool research,4,0.883475
genai architectural,4,0.8834
practitioner,4,0.86265
education offer,4,0.8702
process,4,0.8684000000000001
impact learner,4,0.876425
creative writing,4,0.88605
genai workplace,4,0.8692249999999999
generate synthetic,4,0.873175
responsible ai,4,0.883875
consideration genai,4,0.8754500000000001
educational chatbot,4,0.876325
explainable ai,4,0.893925
network optimization,4,0.8467749999999999
research provide,4,0.8648
academic context,4,0.8734
creative workflow,4,0.8860750000000001
cybersecurity education,4,0.903075
genai industry,4,0.8541
sustainable,4,0.8471
student chatgpt,4,0.877575
learner study,4,0.866
pedagogical agent,4,0.88275
creative domain,4,0.894725
search engine,4,0.888875
educational outcome,4,0.87285
education introduce,4,0.8666
attitude genai,4,0.8654999999999999
student intention,4,0.85845
uk university,4,0.85055
education learner,4,0.87405
computing education,4,0.8653500000000001
educational strategy,4,0.8767
high educational,4,0.88645
tailor educational,4,0.866525
genai competence,4,0.8631
information search,4,0.881075
include student,4,0.86775
teaching process,4,0.892675
aigc service,4,0.8373999999999999
teaching method,4,0.8581
learning teach,4,0.869475
collaborative teaching,4,0.8729750000000001
genai change,4,0.872325
learner english,4,0.868025
educational implication,4,0.882475
education discuss,4,0.87875
education paper,4,0.8629
education article,4,0.869
learner need,4,0.8782
teaching strategy,4,0.8741
distance education,4,0.869625
business intelligence,4,0.873775
curricular,4,0.8486
education qualitative,4,0.8794
creative professional,4,0.8924749999999999
impact employee,4,0.887325
learning collaborative,4,0.898375
inquirybase learning,4,0.8774
design instructional,4,0.88975
academic practice,4,0.855925
genai advertising,4,0.9016500000000001
diverse educational,4,0.8677
chain management,4,0.839625
teaching practice,4,0.8493999999999999
study student,4,0.86235
knowledge process,4,0.90405
educational application,4,0.88125
support creative,4,0.87945
student digital,3,0.8776
student increasingly,3,0.8681333333333333
educational model,3,0.8936666666666667
educational methodology,3,0.8575666666666667
consider student,3,0.8682666666666666
learning support,3,0.8654333333333334
intelligence agi,3,0.8832333333333334
learn experience,3,0.8599666666666667
drug design,3,0.8658666666666667
opportunity genai,3,0.8771333333333334
nlp task,3,0.8872
student wellbee,3,0.8808333333333334
genai pedagogy,3,0.8773333333333334
research use,3,0.8715666666666667
cultural heritage,3,0.8922
generation synthetic,3,0.8584999999999999
curriculum support,3,0.8580666666666668
literacy training,3,0.8731666666666666
genai psychology,3,0.8879666666666667
qualitative datum,3,0.8887999999999999
education exist,3,0.8658333333333333
aiassiste learning,3,0.8804
student ethical,3,0.8621666666666666
policy genai,3,0.8645999999999999
research framework,3,0.8769333333333332
teachinglearning process,3,0.8742
pedagogical content,3,0.8758333333333334
participatory ai,3,0.8589333333333333
academic institution,3,0.8370000000000001
course material,3,0.8814666666666667
crossdomain machinegenerated,3,0.8870999999999999
code development,3,0.8771999999999999
software engineer,3,0.8695666666666666
creative practitioner,3,0.8880333333333333
sentiment,3,0.8969
collaboration creative,3,0.8945
genai attitude,3,0.8781666666666667
tool learning,3,0.8772333333333333
deploy genai,3,0.8772333333333333
technology evolve,3,0.8526666666666666
student translator,3,0.8766666666666666
outcome student,3,0.8619
genai intellectual,3,0.8690333333333333
learning sdl,3,0.8642
manufacturing genai,3,0.8777666666666667
project student,3,0.8571
software architect,3,0.9051333333333332
maintain research,3,0.8982
eap course,3,0.8572666666666667
feedback learner,3,0.8801333333333333
smart manufacturing,3,0.8691333333333334
digital pedagogy,3,0.8640666666666666
genai productivity,3,0.8788666666666667
experience genai,3,0.8700333333333333
survey genai,3,0.8686666666666666
semantic search,3,0.8436
genai network,3,0.8647666666666667
cs education,3,0.8812666666666668
translation,3,0.8968333333333334
scientific research,3,0.8886
research argue,3,0.8903666666666666
conduct bibliometric,3,0.8807666666666667
question generation,3,0.879
influence student,3,0.8522666666666666
code student,3,0.8796333333333334
genai iot,3,0.8784000000000001
innovative application,3,0.8816
management knowledge,3,0.8872
prompt genai,3,0.89
genai propose,3,0.8849666666666667
student need,3,0.8670333333333332
student participate,3,0.8593333333333333
developer genai,3,0.8913666666666668
writing assessment,3,0.8849666666666667
university education,3,0.8653333333333334
federate learn,3,0.8520666666666666
mixed reality,3,0.8701666666666666
humangenai interaction,3,0.8692333333333333
mining,3,0.8586999999999999
metaphor education,3,0.8713333333333333
digital twin,3,0.8572666666666667
educator engage,3,0.8486666666666666
assess genai,3,0.8896666666666667
teaching experience,3,0.8709000000000001
university academic,3,0.864
visual literacy,3,0.9034
creativity study,3,0.8584
team genai,3,0.8841666666666667
software startup,3,0.8888666666666666
classroom genai,3,0.8537
signature generation,3,0.9056333333333333
online signature,3,0.8890333333333333
corporate,3,0.8853333333333334
genai machine,3,0.8821666666666667
genai multiagent,3,0.89
virtual patient,3,0.8517333333333333
theory technology,3,0.8431000000000001
translation education,3,0.8969999999999999
genai assessment,3,0.8738
management study,3,0.8707333333333334
genai prompt,3,0.9026666666666667
personalize student,3,0.8614333333333333
attack generation,3,0.8539
mental health,3,0.8574333333333334
digital narrative,3,0.8868666666666667
gamifie learning,3,0.8914
student efl,3,0.8718333333333333
genai copyright,3,0.8930000000000001
interdisciplinary learning,3,0.8792333333333334
introductory programming,3,0.8772333333333333
personalize educational,3,0.8895
machinegenerated essay,3,0.8898333333333334
education potential,3,0.8636666666666667
language model,3,0.8866333333333333
genai interview,3,0.8514333333333334
technology teach,3,0.8632666666666666
genai capability,3,0.8688666666666668
model student,3,0.8668333333333335
learning critical,3,0.8793000000000001
tool teach,3,0.8468666666666667
workforce,3,0.8472666666666667
student reflective,3,0.8916
big,3,0.8681666666666666
adversarial,3,0.8656666666666667
video,3,0.8842333333333334
language write,3,0.8786999999999999
learner critical,3,0.8853666666666666
literature review,3,0.9049666666666667
model undergraduate,3,0.8516
genai postgraduate,3,0.8822000000000001
machinegenerated,3,0.8810333333333333
lesson design,3,0.8570333333333333
teacher lesson,3,0.8631666666666667
education ethical,3,0.862
information extraction,3,0.8536666666666667
student survey,3,0.8767333333333333
student regard,3,0.8637666666666667
education technology,3,0.8624999999999999
immersive,3,0.8677666666666667
genai immersive,3,0.8851999999999999
educational background,3,0.8756666666666666
qualitative study,3,0.8955333333333334
enhance pedagogical,3,0.8644333333333334
agent design,3,0.884
health ethic,3,0.8642666666666666
advance genai,3,0.8769666666666667
classification genai,3,0.8778
academic honesty,3,0.8668666666666667
prototype,3,0.8835000000000001
ai development,3,0.8698
programming student,3,0.8868
education theoretical,3,0.8720333333333333
transform learning,3,0.8620333333333333
learning teaching,3,0.8792333333333332
design curriculum,3,0.8950333333333335
perspective student,3,0.8609666666666667
lifecycle sdlc,3,0.8908333333333333
technology academic,3,0.8810666666666668
tool educational,3,0.8486333333333334
productivity genai,3,0.8689333333333332
education metacognitive,3,0.879
shape consumer,3,0.8846999999999999
student metacognitive,3,0.8879333333333334
research guide,3,0.8601
multimedia learn,3,0.8564333333333334
inspiration,3,0.8708666666666667
network management,3,0.8473333333333333
business school,3,0.8460333333333333
ability genai,3,0.8652333333333333
theory genai,3,0.8707333333333334
change,3,0.8639
approach portfolio,3,0.8724
educational task,3,0.8731
assess,3,0.8553333333333333
explore factor,3,0.8623
study struggle,3,0.8617
learning engagement,3,0.8809
framework pedagogical,3,0.8554333333333334
writing evaluation,3,0.8876666666666667
copyright genai,3,0.8885333333333333
music generation,3,0.8746666666666667
collaborative writing,3,0.8793333333333333
tutoring power,3,0.8963
health communication,3,0.8663
knowledge generation,3,0.8864333333333333
platform ecosystem,3,0.8717333333333332
development process,3,0.8634666666666666
genai finance,3,0.8875000000000001
automated essay,3,0.9039999999999999
genai knowledge,3,0.8864333333333333
efl teacher,3,0.8825666666666666
genai genai,3,0.8949666666666666
learn role,3,0.8564999999999999
process optimization,3,0.8745333333333334
genai write,3,0.8794
learning approach,3,0.8552666666666666
education reshape,3,0.8661666666666666
creative thinking,3,0.8654333333333334
education enhance,3,0.8626
educator educational,3,0.8719333333333333
regulatory framework,3,0.8645
need educational,3,0.8611333333333334
process design,3,0.8605
chatbot,3,0.8727
enhance customer,3,0.8704666666666666
education international,3,0.8929
student access,3,0.8482666666666666
write selfefficacy,3,0.8933666666666666
inclusive design,3,0.8585666666666666
literacy academic,3,0.8822
university curriculum,3,0.8843333333333333
curriculum assessment,3,0.8811333333333334
knowledge transfer,3,0.8599333333333333
learn satisfaction,3,0.8828
essay use,3,0.8767666666666667
student programming,3,0.8464333333333333
potential education,3,0.8709000000000001
medical imaging,3,0.8637
course result,3,0.8639333333333333
student educational,3,0.8701333333333334
genai intelligent,3,0.8391333333333333
human creativity,3,0.8792666666666666
genai leadership,3,0.9055333333333334
tutoring schrijfblik,3,0.8864
education case,3,0.8659
studentcentre,3,0.89
framework studentcentre,3,0.8946
opensource llm,3,0.8717
service innovation,3,0.8804666666666666
educator adoption,3,0.8710999999999999
education taxonomy,3,0.8943333333333333
design pedagogy,3,0.8725666666666667
education argue,3,0.8749333333333333
image generation,3,0.8765333333333333
genai approach,3,0.8721
implement genai,3,0.8553333333333333
research approach,3,0.8738333333333334
method course,3,0.8696666666666667
educational equity,3,0.8799333333333333
humanai cocreation,3,0.8714666666666666
science learning,3,0.8611999999999999
genai use,3,0.8873000000000001
genai virtual,3,0.8819
integrity faculty,3,0.8821
educational innovation,3,0.8835000000000001
assessment university,3,0.8927333333333333
chatgpt adoption,3,0.8541666666666666
compute course,3,0.8853
include urban,3,0.8664333333333333
learning promote,3,0.8792666666666666
ownership,3,0.8772333333333333
time student,3,0.8744333333333333
meaningful learning,3,0.8550333333333334
education understand,3,0.8759333333333333
seven student,3,0.8608666666666668
genai college,3,0.8709666666666666
learner behavioral,3,0.8645333333333333
education literature,3,0.8796333333333334
designer genai,3,0.8943666666666666
learner genai,3,0.8648333333333333
genaienhance learning,3,0.8594666666666667
genai customer,3,0.8852666666666668
role innovation,3,0.8731666666666666
education current,3,0.8776333333333334
answer genai,3,0.8972333333333333
individual learner,3,0.8821333333333333
understand learning,3,0.8811333333333332
facilitate learning,3,0.8716666666666667
student selfregulate,3,0.8625666666666666
datum extraction,3,0.8587333333333333
linguistic,3,0.8860666666666667
genai critical,3,0.8557666666666667
medical research,3,0.8925333333333333
genai intrusion,3,0.8755666666666667
design learning,3,0.8695333333333334
ai course,3,0.8802
genai job,3,0.8760666666666667
student aware,3,0.8746999999999999
usability,3,0.8829666666666668
scaffold learner,3,0.8781666666666667
personalization,3,0.8824333333333333
ai competency,3,0.8452666666666667
practice,3,0.871
pedagogy cblp,3,0.8816666666666667
software design,3,0.8825666666666666
education medical,3,0.8547666666666668
capability genai,3,0.8779333333333333
education policy,3,0.8735666666666667
education teacher,3,0.8701666666666666
ai research,3,0.8870333333333332
teaching model,3,0.8842666666666666
learner interaction,3,0.8779333333333333
technology pedagogy,3,0.8696999999999999
interface genai,3,0.8883666666666666
environment student,3,0.8819333333333333
explore genai,3,0.8661
develop academic,3,0.8779333333333333
insight design,3,0.8561666666666666
risk management,3,0.8834666666666667
student lead,3,0.8443999999999999
learner write,3,0.8909666666666668
inquirybase learn,3,0.8595
scaffold student,3,0.8519666666666668
explore teacher,3,0.8586999999999999
student role,3,0.8772000000000001
learn student,3,0.8739333333333333
teaching tool,3,0.8644666666666666
chatbot learn,3,0.8657
deployment,3,0.8737666666666666
product design,3,0.8896666666666667
interaction design,3,0.8836666666666666
genai tourism,3,0.8826333333333333
visualization genai,3,0.8855666666666666
creative ai,3,0.8945
genai trust,3,0.8795666666666667
action research,3,0.8743
engineering prompt,3,0.8830666666666667
enterprise genai,3,0.8885666666666667
ais role,3,0.8851999999999999
learner perception,3,0.8611333333333334
technology study,3,0.8616333333333334
explore faculty,3,0.8480333333333334
innovative,3,0.8800333333333333
finance,3,0.8753000000000001
learner engagement,3,0.8900666666666667
genai cyber,3,0.8818
organizational learning,3,0.8444333333333334
design game,3,0.8942
engineering education,3,0.8519666666666666
teaching business,3,0.8882666666666666
ai business,3,0.9105333333333334
personalise learn,3,0.8822
generation genai,3,0.8917
simulation teacher,3,0.8613666666666667
practice genai,3,0.8667333333333334
gender,3,0.8859666666666666
business education,3,0.8774000000000001
management genai,3,0.8632333333333334
pedagogical framework,3,0.8542
fashion industry,3,0.9098666666666667
student ai,3,0.8741
genaibased image,3,0.8683333333333333
nursing education,3,0.8662000000000001
detection,3,0.8484000000000002
usage chatgpt,3,0.868
education literacy,3,0.8863333333333333
fake,3,0.8498666666666667
