keyword,frequency,avg_score,paper_ids_str
generative adversarial network,31,0.755674193548387,"17,138,590,595,672,1072,1281,1385,1386,1537,1751,1806,1928,2017,2414,2476,2561,2719,2734,2793,2927,2966,3021,3063,3217,3586,3893,3899,3920,4130,4258"
genai software engineering,29,0.8558103448275862,"140,287,369,506,884,1748,1906,2106,2120,2266,2332,2416,2581,2693,3261,3572,3575,3628,3647,3732,3763,3829,3862,3888,3934,4063,4117,4159,4253"
technology acceptance model,19,0.7563210526315789,"173,474,1000,1013,1239,1252,1523,1646,1666,1744,2822,3138,3195,3564,3634,3822,3895,3969,4218"
structural equation modeling,18,0.7276888888888888,"130,150,164,226,231,426,867,1054,1375,1505,1861,1894,2018,2665,2813,3327,3830,4090"
genai technology adoption,16,0.8077999999999999,"64,317,503,791,848,939,1336,1429,2133,2795,3309,3553,3653,3697,3833,3968"
sustainable development,15,0.65354,"81,217,517,528,722,967,1422,1662,1942,2008,2143,2296,2957,3071,3679"
privacy concern,14,0.6647071428571429,"56,216,807,903,1102,2161,2245,2550,2860,3261,3516,3676,4054,4063"
education assessment,14,0.8046357142857142,"146,210,1083,1882,2145,2175,2980,3001,3431,3527,3631,3811,3867,4017"
neural network,14,0.71755,"13,413,561,1060,1938,2229,2245,2717,3033,3424,3432,3626,3748,3999"
interview participant,14,0.7172142857142857,"278,338,397,696,889,1042,1170,1190,1450,1681,2483,2821,3838,4096"
bridge gap,13,0.6539538461538462,"757,1626,1878,1961,2150,2836,3328,3337,3456,3560,3564,3946,4001"
image generation,13,0.6883692307692308,"279,399,568,920,1059,1681,2260,2302,3219,3261,3428,3882,4171"
machinegenerated text detection,12,0.8955583333333333,"3029,3032,3034,3036,3038,3040,3041,3043,3046,3053,3054,3059"
english foreign language,12,0.7274833333333334,"198,574,754,974,1322,1562,1833,1846,2330,2742,3751,3755"
user experience,12,0.7512916666666666,"252,712,929,972,1499,1642,1774,1828,3460,3468,3690,3823"
adoption,12,0.7306583333333333,"653,1449,1524,2106,2421,2716,3360,3504,3755,4069,4071,4072"
content creation,11,0.7474727272727272,"114,618,1343,1494,1876,2510,2950,3111,3398,3818,3926"
education student,11,0.7437999999999999,"561,607,1390,1475,2511,2885,2957,3102,3159,4014,4173"
image video,11,0.7156545454545454,"152,328,784,1277,1828,2651,3064,3300,3352,3410,4105"
authenticity,11,0.6325363636363637,"34,811,2099,2300,3000,3024,3239,3745,3767,3861,4125"
retrieval augmented generation,10,0.7488400000000001,"171,675,681,1332,1937,3588,3646,3716,3850,4037"
student genai tool,10,0.8408599999999999,"266,353,896,1633,1749,2386,2591,2926,3407,3853"
design,10,0.7461300000000001,"333,432,473,1625,1715,1900,1909,2961,3698,3844"
virtual reality,10,0.73036,"261,436,709,849,2789,3462,3754,3804,3930,3931"
humancomputer interaction,10,0.70482,"247,433,532,660,1164,1230,2632,3169,3423,4120"
build,10,0.64709,"225,785,1320,2318,2520,2605,2792,3083,3866,3886"
knowledge,9,0.6511777777777777,"352,933,1051,1246,1788,2729,3268,3613,3991"
digital technology,9,0.7269444444444444,"809,919,1444,1800,2952,3612,3826,4073,4280"
genai manufacturing system,9,0.8675555555555555,"820,857,1646,2871,3021,3063,3656,3699,4061"
ethical implication,8,0.7187625,"200,250,390,421,2112,3292,3507,4123"
higher education,8,0.7480625,"551,552,1391,1456,1660,1745,2403,3321"
technical proficiency,8,0.687325,"790,1325,1602,1711,1836,2603,2912,3763"
genai knowledge management,8,0.8311125000000001,"158,542,1496,1799,3201,3814,3818,4066"
high education policy,8,0.7836750000000001,"282,483,863,1273,1574,3365,3702,4058"
institutional policy,8,0.60005,"171,188,1296,1765,2046,2204,3482,3857"
secondary school student,8,0.7016,"265,308,314,698,2056,2127,3167,3838"
automation,7,0.7316285714285714,"1336,1341,1725,2367,3780,4035,4133"
audio video,7,0.6920857142857143,"50,652,1086,1876,2107,2229,3090"
genai detection task,7,0.8553142857142858,"3031,3035,3044,3050,3056,3058,3060"
prisma,7,0.5959714285714286,"148,575,1846,2604,2994,3529,3818"
academic writing chatgpt,7,0.8803857142857143,"1045,1312,1339,2052,2241,2411,3164"
genai tool enhance,7,0.7094571428571428,"246,496,1726,1820,2930,2967,3173"
learn technology,7,0.7394142857142858,"1078,1523,1639,2295,2407,3181,4035"
climate change,7,0.6684714285714285,"1704,1997,2756,2797,3410,4245,4249"
artificial intelligence literacy,7,0.8396857142857144,"1366,1514,1948,2169,2736,3719,3721"
software development life,7,0.7659142857142857,"2158,2935,3494,3521,3587,3976,4016"
chatgpt collaborative learning,7,0.8853142857142858,"1118,1119,1253,1361,3388,3908,3938"
knowledge graph,6,0.7857333333333333,"88,341,420,1104,2890,4181"
construction technology,6,0.6368166666666667,"1859,2521,2558,3527,3790,4044"
problem solve,6,0.6461833333333333,"2287,2289,3461,3505,3595,3928"
stakeholder,6,0.7145,"912,969,1136,1732,3121,3484"
education technology acceptance,6,0.8474499999999999,"704,744,1078,1246,1438,2912"
transformer model,6,0.5850833333333333,"1748,2126,2498,3025,3026,3842"
foster critical thinking,6,0.7518833333333332,"180,1701,1884,2111,3203,3254"
genai adoption university,6,0.8636833333333334,"416,947,1031,1230,1456,2912"
generative pretraine transformer,6,0.7579166666666667,"2088,3660,3673,3752,3983,4180"
education assessment chatgpt,6,0.8813833333333333,"412,752,2292,2956,3166,4223"
genai natural language,6,0.8006500000000001,"575,911,2377,2488,3727,3910"
information literacy,5,0.8193999999999999,"2448,2554,2781,3226,3786"
health profession,5,0.77066,"745,2402,2586,2865,3921"
designmethodologyapproach,5,0.70004,"1290,1585,2679,2998,3792"
student learn outcome,5,0.7908000000000001,"154,433,652,2249,4102"
computer science education,5,0.792,"270,403,959,1400,2225"
creative practice design,5,0.8184400000000001,"402,808,2214,3379,4238"
deep reinforcement,5,0.74644,"678,1551,1767,1831,3544"
educator,5,0.7625000000000001,"13,1230,1680,2390,3522"
technology high,5,0.60508,"1466,1758,2750,3193,4219"
knowledge creation,5,0.7212799999999999,"478,2513,2975,3676,3682"
learn model,5,0.74842,"1200,1596,1599,2654,4236"
academic performance,5,0.72544,"246,499,646,1375,3017"
systematic literature,5,0.75514,"363,606,1330,4245,4249"
professional development,5,0.7816799999999999,"489,1342,1922,2571,2725"
value creation,5,0.72608,"2559,2769,2929,3375,4036"
area genai,5,0.65952,"111,144,211,1145,3818"
workplace,4,0.714675,"85,1440,2663,3016"
simulation tool,4,0.61895,"2235,2992,3145,3397"
student attitude toward,4,0.731575,"364,799,825,3162"
student ethical ai,4,0.809775,"593,1847,2225,4193"
understand user,4,0.734475,"360,479,1709,3456"
academic misconduct case,4,0.713325,"1820,1970,3485,3771"
benefit risk,4,0.627775,"1745,2438,3862,4282"
behavioral intention,4,0.68565,"1768,2259,2446,3339"
preservice inservice teacher,4,0.7344,"1135,2169,2193,3517"
medical imaging,4,0.7913250000000001,"33,1383,1891,3688"
support knowledge worker,4,0.747325,"484,1147,1171,1778"
interview analyze,4,0.742525,"1708,2102,2347,2926"
obstacle,4,0.60095,"2262,3154,3528,3884"
process application,4,0.7033499999999999,"1615,2648,3617,3991"
workflow,4,0.7319249999999999,"26,560,1169,3460"
participatory,4,0.7907,"427,819,1243,2657"
learn teaching practice,4,0.7715749999999999,"248,1704,2516,4033"
mental health care,4,0.7465,"655,2337,2556,4091"
sector propose genai,4,0.774775,"956,2505,3657,3695"
trust genai chatbot,4,0.8473,"426,632,1168,1709"
genai like chatgpt,4,0.7995749999999999,"954,1308,2256,2866"
datum security,4,0.6265,"127,1294,1513,3624"
flip classroom genai,4,0.85995,"1116,1357,1858,2523"
genai creative workflow,4,0.855275,"797,1193,1638,2945"
understand impact genai,4,0.7110000000000001,"851,1395,2465,2924"
ethical standard,4,0.663375,"118,1045,1877,4008"
ethics privacy security,4,0.70585,"1088,1384,3282,3741"
factor drive,4,0.6735249999999999,"25,1012,1646,2783"
customer service support,4,0.6504000000000001,"2825,3670,3671,4230"
student perception,4,0.773675,"1110,2633,2710,2747"
personalize learning,4,0.737275,"374,593,2030,2267"
learn environment,4,0.75105,"1210,1456,2347,2810"
transformer gpt,4,0.6925250000000001,"1579,3151,3669,3673"
digital transformation education,4,0.8055249999999999,"690,842,3883,4021"
disconnect,4,0.596975,"512,1934,2336,3548"
technology optimize,4,0.705975,"1090,1705,3657,3695"
technological innovation,4,0.663725,"236,367,1687,2132"
text image audio,4,0.697225,"1080,1388,1464,3661"
ai cybersecurity genai,4,0.87375,"860,1973,3006,3089"
aerial vehicle uavs,4,0.743725,"1932,2853,2948,3920"
write performance,3,0.6393666666666666,"973,1525,1547"
support underprivileged,3,0.6283,"2285,2294,2348"
robot,3,0.6825333333333333,"722,2185,2952"
quality life,3,0.7014,"3449,3830,4140"
program exercise,3,0.6963666666666667,"2591,3596,4199"
educational datum mining,3,0.8246333333333333,"1281,1573,1821"
effective tutoring,3,0.8752,"2285,2294,2348"
education setting,3,0.8008333333333333,"276,573,1248"
turkey,3,0.5943666666666667,"208,276,1760"
twin dt technology,3,0.7391666666666667,"2151,2996,3621"
digital age,3,0.7077,"2522,3759,3851"
plan,3,0.6622666666666667,"1138,3412,3712"
natural language prompt,3,0.7077666666666667,"583,1834,4181"
mitigate,3,0.5927666666666668,"653,2413,4197"
model case,3,0.7302,"2285,2294,2348"
literacy competency,3,0.7663333333333333,"2189,3211,3523"
material design,3,0.6825,"1575,2224,2782"
lifecycle management,3,0.7599999999999999,"37,490,2309"
lifelong learning,3,0.8612666666666667,"2958,3655,4051"
learn ml application,3,0.7447666666666667,"1592,1955,3295"
critical digital,3,0.658,"1326,2056,2112"
competency necessary,3,0.7228666666666667,"188,228,3929"
convolutional neural network,3,0.6955666666666667,"1582,1719,1910"
learn analytic dashboard,3,0.8604666666666666,"1281,1663,4030"
learn employee,3,0.7241,"4069,4071,4072"
internet thing iot,3,0.7879666666666667,"381,418,2712"
institutional factor,3,0.6639333333333334,"422,690,2298"
integration high,3,0.5415666666666666,"260,1176,2222"
indian banking sector,3,0.68,"4069,4071,4072"
guardrail ai education,3,0.8146,"2285,2294,2348"
genetic algorithm,3,0.7569666666666667,"236,329,2875"
german university context,3,0.7664,"2285,2294,2348"
genai legal education,3,0.8807666666666667,"2516,3105,3964"
genai smart city,3,0.8542333333333333,"2108,2630,3817"
design implementation,3,0.6745666666666666,"2384,3104,3847"
data privacy,3,0.6861333333333333,"791,1607,2984"
fusion metaverse sport,3,0.523,"4069,4071,4072"
customer relationship management,3,0.7139000000000001,"612,2176,3690"
cuttingedge technology,3,0.6661333333333334,"949,3969,4260"
entrepreneurship,3,0.6498333333333334,"1641,2008,2794"
ethical framework,3,0.7976,"40,903,3229"
student feedback literacy,3,0.9073666666666668,"2239,2851,3015"
tasktechnology fit,3,0.7159666666666666,"1619,2097,3234"
technologist,3,0.523,"2435,3291,3912"
technology critical,3,0.5921666666666666,"526,1634,1639"
synthetic data generation,3,0.7058333333333332,"1035,1086,2574"
tailor learning experience,3,0.7642333333333333,"677,3153,3166"
advanced ai technology,3,0.6890000000000001,"3413,3539,3576"
african community blockchain,3,0.7898,"4069,4071,4072"
manufacture agentic ai,3,0.7331499999999999,"219,711,892"
young people,2,0.70155,"79,1271"
active learning,2,0.7678,"2898,3758"
adopt technology,2,0.6790499999999999,"2245,2670"
adversarial network gin,2,0.74115,"3746,4154"
raise ethical concern,2,0.60835,"1306,3160"
reasoning,2,0.7178,"193,1429"
recognize,2,0.5823,"364,2083"
recurrent unit,2,0.65295,"1469,3953"
regulatory compliance,2,0.7201,"2013,4213"
replace,2,0.6710499999999999,"484,3078"
requirement elicitation,2,0.6951,"1596,1599"
requirement genai tool,2,0.7035,"1665,2668"
production distribution,2,0.63905,"950,2881"
productivity development team,2,0.77825,"884,2106"
productivity efficiency,2,0.62785,"1708,4219"
professional knowledge,2,0.73295,"970,1708"
programming language,2,0.62945,"3011,3455"
project management,2,0.7008,"1421,3936"
project prioritise,2,0.6656,"913,1461"
prompt support offer,2,0.6912,"1284,2576"
emotional,2,0.7473000000000001,"459,3429"
empirical evidence,2,0.622,"735,2233"
employee experience genai,2,0.8922,"1990,2819"
employee wellbee,2,0.8472,"64,2313"
engagement learn outcome,2,0.7161,"1782,2401"
prioritize ethical ai,2,0.73565,"555,2594"
problem ai,2,0.6931,"447,2175"
problemsolve programming education,2,0.88785,"233,2595"
dishonesty,2,0.5034,"916,2455"
education community,2,0.78215,"1700,2933"
education engineering,2,0.7676000000000001,"1521,2099"
education enhance student,2,0.7622,"1020,3095"
education opportunity challenge,2,0.7835000000000001,"10,2763"
education sector,2,0.7424,"299,905"
education sustainable,2,0.7825,"2915,3180"
emerge technology,2,0.7100500000000001,"1705,4228"
execution iot,2,0.7552,"112,113"
extend reality genai,2,0.87765,"522,1539"
facial processing technology,2,0.8016,"2220,3543"
faculty,2,0.7585500000000001,"2064,2667"
fake news detection,2,0.8091999999999999,"1527,3796"
federate learning fl,2,0.6900999999999999,"472,2740"
federate learning service,2,0.7049,"1596,1599"
feedback translation education,2,0.8703000000000001,"1228,2307"
student understand,2,0.68855,"2908,4189"
successful implementation,2,0.6596,"2681,3113"
engineer mathematic stem,2,0.70475,"2615,2650"
engineering education ethical,2,0.8355,"2098,2499"
english language teacher,2,0.76515,"3256,4096"
entertainment product design,2,0.6525,"2293,4068"
ethical risk,2,0.6551499999999999,"950,2491"
ethical safeguard,2,0.62815,"222,671"
south africa,2,0.66575,"2146,4212"
south korea,2,0.63945,"717,4075"
strength weakness genai,2,0.5979,"2251,3357"
student adoption,2,0.81065,"3812,4266"
student disciplinespecific academic,2,0.7648999999999999,"2753,3615"
student interaction genai,2,0.87735,"1314,3134"
student performance evaluation,2,0.7949999999999999,"1399,1854"
student survey,2,0.83665,"3922,4256"
sector increase,2,0.6035,"3653,3697"
secure environment,2,0.6216999999999999,"1559,2896"
semistructure,2,0.616,"1231,1353"
sentiment,2,0.7593,"1790,2258"
service optimize,2,0.7145,"707,3617"
shape user,2,0.663,"325,971"
simulationbase clinical case,2,0.8444499999999999,"834,2993"
software engineering education,2,0.8507499999999999,"1461,3471"
genai collaborative learning,2,0.8793,"1672,2287"
genai interface design,2,0.8513,"1284,2576"
genai intrusion detection,2,0.8254,"2066,2719"
genai learning system,2,0.81115,"475,3337"
genai marketing curriculum,2,0.8553,"758,2751"
genai mental health,2,0.8508,"1532,2453"
genai physics education,2,0.88925,"2555,3126"
genai poise play,2,0.6168,"3653,3697"
development deployment,2,0.7021999999999999,"3354,3793"
development institutional support,2,0.5836,"1347,3778"
development lifecycle sdlc,2,0.8905000000000001,"3770,4191"
development program ethical,2,0.7532,"1575,2224"
device large,2,0.63185,"680,1059"
diffusion probabilistic model,2,0.69375,"1909,4187"
genai clinical exercise,2,0.8883000000000001,"191,298"
deploy social bot,2,0.7934,"4245,4249"
deployment edge,2,0.7592000000000001,"2580,2712"
design educational escape,2,0.8652,"1370,4271"
design fiction,2,0.87185,"815,3227"
design user,2,0.7422500000000001,"2813,3087"
detect aigenerate,2,0.80435,"3057,3663"
developer design,2,0.7231000000000001,"923,1688"
development application,2,0.66525,"2626,3021"
financial workflow,2,0.7069,"1284,2576"
game design genai,2,0.9064,"1491,3092"
genai blockchain,2,0.8531,"2242,3610"
critical enabler,2,0.5985,"1668,2337"
cultivate,2,0.6104499999999999,"1871,2409"
database scopu web,2,0.7071,"1575,2224"
deep learning genai,2,0.7269,"531,1579"
dellintelligenza artificiale,2,0.64245,"408,3612"
integration genai teaching,2,0.8778,"1044,3941"
integration smart microgrid,2,0.6373,"3930,3931"
integrity datum privacy,2,0.60675,"1013,1875"
intelligence empowerment genai,2,0.8401,"1136,4101"
intelligence high education,2,0.8007,"712,3788"
intelligent interactive system,2,0.7627999999999999,"821,4231"
interactive learn environment,2,0.82075,"2752,2990"
intersection datum,2,0.6847,"3656,3699"
identify area,2,0.6519999999999999,"145,1370"
image learn,2,0.62,"125,129"
image video automatically,2,0.6775,"4245,4249"
impact learn,2,0.7919499999999999,"2933,4210"
inductive thematic identify,2,0.70755,"974,2249"
industrial engineering,2,0.6649499999999999,"116,3754"
information extraction ie,2,0.8475,"78,3825"
innovative strategy,2,0.6253500000000001,"3502,3756"
guidance practitioner,2,0.69425,"1619,2931"
help student,2,0.77905,"2399,3072"
high education challenge,2,0.76,"777,1514"
high education stakeholder,2,0.7364999999999999,"2317,4045"
humanai collaboration music,2,0.89855,"3998,4015"
humancentere intelligent automation,2,0.7384,"3653,3697"
humanmachine,2,0.7213,"797,1672"
identify aigenerate text,2,0.83095,"3033,3161"
genai scaffold,2,0.6408,"725,2355"
genai tool ethical,2,0.80075,"626,1178"
gender bias genai,2,0.85995,"2604,3016"
generate molecular structure,2,0.796,"269,3724"
generate text image,2,0.7049,"952,3376"
generative genai designbase,2,0.88435,"3248,4152"
geographic information system,2,0.6981999999999999,"174,1623"
graphic design education,2,0.8933,"2639,3162"
conduct online experiment,2,0.7197,"2773,4248"
conduct semistructure interview,2,0.74585,"1174,4011"
conference software engineering,2,0.8659,"68,2577"
content knowledge tpack,2,0.7049,"753,2982"
corpusbase language pedagogy,2,0.86785,"1901,2193"
course design,2,0.7875,"260,1408"
course learn factory,2,0.8463,"3930,3931"
course satisfaction,2,0.71825,"1511,2523"
categorize student prompt,2,0.8089999999999999,"999,2127"
chatbot high education,2,0.88005,"3119,3567"
chatgpt cognitive manufacturing,2,0.8277,"3657,3695"
chatgpt engineering education,2,0.86575,"2430,3215"
child welfare,2,0.5425,"125,129"
chinese,2,0.66645,"253,2396"
cognitive processing,2,0.6541,"451,2383"
language education inform,2,0.8703000000000001,"1353,3433"
language interface,2,0.7111000000000001,"1214,1480"
language processing nlp,2,0.77555,"69,2439"
language skill,2,0.6725,"1525,2666"
learn academic literacy,2,0.88405,"1452,3477"
learn algorithm,2,0.7605,"632,4040"
learn design,2,0.8364499999999999,"619,2390"
learn enable,2,0.644,"414,1752"
intersection genai,2,0.73615,"3483,3718"
intervention validate,2,0.6301,"102,1980"
interview software,2,0.7534000000000001,"122,4109"
introductory programming education,2,0.84755,"3187,3799"
investigation leverage,2,0.5880000000000001,"830,3660"
knowledge deficit,2,0.74125,"973,3993"
ktwelve,2,0.6863,"2497,3343"
labor,2,0.6738500000000001,"3591,4276"
mining robotic,2,0.7491,"112,113"
mobile edge computing,2,0.7227,"2740,3011"
model education compare,2,0.7005,"112,113"
model innovation chatgpt,2,0.8689,"82,3498"
model plssem fuzzyset,2,0.69275,"650,1505"
multiagent graph reinforcement,2,0.8430500000000001,"1932,2948"
multidnn application edgeend,2,0.8468,"1596,1599"
multimedia learning,2,0.7695000000000001,"714,915"
library aienhance conversation,2,0.8567,"1593,1594"
look leverage,2,0.6144,"3656,3699"
machine learn,2,0.6635,"3657,3695"
mainland china,2,0.6502,"828,2988"
management organizational,2,0.7262500000000001,"366,3150"
manufacturer increase efficiency,2,0.7526,"3656,3699"
map application,2,0.5952500000000001,"3549,3920"
metadata extraction scholarly,2,0.7905,"1593,1594"
learn system,2,0.81995,"2909,3736"
learn tool,2,0.7523500000000001,"92,99"
learner attitude genai,2,0.8842,"621,3751"
learning offer,2,0.6548499999999999,"846,1666"
learningbase,2,0.7184999999999999,"52,60"
legal ethical,2,0.6716500000000001,"332,1939"
legal regulatory framework,2,0.6395,"114,2876"
lens genai,2,0.64935,"1275,4259"
creative industry,2,0.75535,"1518,1676"
creativity,2,0.8242499999999999,"1994,3352"
crisis communication genai,2,0.866,"4245,4249"
learn experience,2,0.7209,"278,1158"
learn finetune genai,2,0.77905,"2397,4128"
learn platform,2,0.7735000000000001,"1161,2252"
learn project,2,0.8132,"3013,3104"
learn remote surgical,2,0.6832,"125,129"
training planning realtime,2,0.7393000000000001,"3002,3091"
transform,2,0.6761999999999999,"1136,1993"
transformative impact,2,0.72745,"504,3794"
trust aigenerate content,2,0.7403,"1173,4031"
digital competency development,2,0.7855,"1575,2224"
digital humanity,2,0.78745,"434,438"
digital skill,2,0.7759,"1828,1879"
dirichlet allocation lda,2,0.79535,"3696,4169"
policy intervention,2,0.6672,"1304,3375"
practice age,2,0.65335,"41,1564"
practice conduct,2,0.6949,"248,1044"
technology utaut2,2,0.6810499999999999,"997,1942"
texttoimage,2,0.7472,"2900,3518"
theoretical framework,2,0.72325,"740,2876"
topic modeling,2,0.7384,"229,2170"
trainer,2,0.6937,"2789,3277"
organizational change,2,0.761,"1685,3305"
partial least square,2,0.71105,"491,3773"
patient outcome genai,2,0.78,"319,969"
pblprocess mapping blueprint,2,0.8788,"112,113"
pedagogy,2,0.76685,"2699,3597"
plagiarism,2,0.7165,"1818,2292"
plant disease,2,0.632,"2687,2927"
platform deep learning,2,0.749,"3002,3091"
multimodal content generation,2,0.85005,"784,3497"
narrative inquiry,2,0.7853,"185,2571"
navigate complex landscape,2,0.65865,"562,3305"
negative emotion,2,0.7368,"1432,2665"
network reveal,2,0.70035,"58,1964"
nextgeneration wireless,2,0.7968999999999999,"1969,2415"
obstruct,2,0.50065,"978,3816"
online survey conduct,2,0.73655,"1851,2962"
visually impair,2,0.71145,"1149,2480"
work environment,2,0.7545,"2378,3012"
academic integrity chatgpt,2,0.8613,"1236,3233"
write assessment,2,0.8331999999999999,"215,502"
write language,2,0.7618,"3049,3313"
accelerate digital,2,0.62585,"2568,4242"
write task,2,0.7626,"1101,4189"
age educational level,2,0.6775500000000001,"2528,2665"
urban environment,2,0.68265,"595,1151"
usage building,2,0.7368,"1731,3457"
user,2,0.70705,"1764,3427"
user interface,2,0.75315,"820,3689"
utilisation,2,0.7383500000000001,"3112,3772"
academic writing ai,2,0.8654,"2055,4046"
vehicle education development,2,0.7614,"3930,3931"
virtual,2,0.66805,"1796,2160"
authentic assessment practice,2,0.8407,"1820,3860"
automate routine task,2,0.7535000000000001,"1192,3859"
suicide remain,2,0.71095,"2536,3139"
supply chain management,2,0.7301,"53,2827"
supply chain resilience,2,0.86835,"880,3009"
